Activity,Calories
Weight Lifting: general,108
Aerobics: water,144
"Stretching, Hatha Yoga",144
Calisthenics: moderate,162
Aerobics: low impact,198
Stair Step Machine: general,216
Weight Lifting: vigorous,216
"Aerobics, Step: low impact",252
Aerobics: high impact,252
"Bicycling, Stationary: moderate",252
"Rowing, Stationary: moderate",252
Calisthenics: vigorous,306
Circuit Training: general,240
"Rowing, Stationary: vigorous",369
Elliptical Trainer: general,324
Ski Machine: general,342
"Aerobics, Step: high impact",360
"Bicycling, Stationary: vigorous",278
Bowling,108
"Dancing: slow, waltz, foxtrot",108
Frisbee,105
"Volleyball: non-competitive, general play",108
Water Volleyball,108
Golf: using cart,126
Gymnastics: general,144
Horseback Riding: general,70
Tai Chi,144
"Volleyball: competitive, gymnasium play",281
Walking: 3.5 mph (17 min/mi),133
Badminton: general,141
Walking: 4 mph (15 min/mi),175
Kayaking,180
Skateboarding,180
Softball: general play,180
"Whitewater: rafting, kayaking",198
"Dancing: disco, ballroom, square",198
Golf: carrying clubs,216
"Dancing: Fast, ballet, twist",216
Hiking: cross-country,216
Skiing: downhill,216
Swimming: general,216
Walk/Jog: jog <10 min.,216
Water Skiing,216
Wrestling,216
Basketball: wheelchair,234
Ice Skating: general,252
"Racquetball: casual, general",252
Rollerblading/skating (Casual),386
Rollerblading/skating (Fast),421
Scuba or skin diving,252
"Sledding, luge, toboggan",247
Soccer: general,252
Tennis: general,252
Basketball: playing a game,288
Bicycling: 12-13.9 mph,288
"Football: touch, flag, general",288
Hockey: field & ice,288
Rock Climbing: rappelling,282
Running: 5 mph (12 min/mile),288
Skiing: cross-country,246
Snow Shoeing,288
Volleyball: beach,288
Bicycling: BMX or mountain,306
Boxing: sparring,324
Football: competitive,324
Running: cross-country,316
Bicycling: 14-15.9 mph,360
"Martial Arts: judo, karate, kickbox",360
Racquetball: competitive,360
Rope Jumping (Fast),421
Rope Jumping (Slow),281
Running: 6 mph (10 min/mile),360
"Swimming: laps, vigorous",360
Water Polo,360
Rock Climbing: ascending,281
Bicycling: 16-19 mph,432
Handball: general,432
Running: 7.5 mph (8 min/mile),450
Bicycling: > 20 mph,594
Running: 10 mph (6 min/mile),562
Raking lawn,144
Gardening: general,162
"Mowing lawn: push, power",162
Operate Snow Blower: walking,162
Carrying & stacking wood,176
"Mowing Lawn: push, hand",198
Chopping & splitting wood,216
Shoveling Snow: by hand,216
Sleeping,22
Reading: sitting,40
Standing in line,35
Cooking,70
Food Shopping: with cart,106
Playing w/kids: moderate effort,141
"Heavy Cleaning: wash car, windows",162
"Paint, paper, remodel: inside",176
Moving: household furniture,211
Moving: carrying boxes,252
